age,sex,bmi,children,smoker,region,charges
18,female,36.85,0,yes,southeast,36149.4835
30,female,27.93,0,no,northeast,4137.5227
48,male,29.7,0,no,southeast,7789.635
18,male,38.17,0,yes,southeast,36307.7983
19,female,21.7,0,yes,southwest,13844.506
31,female,26.62,0,no,southeast,3757.8448
54,female,31.9,3,no,southeast,27322.73386
63,male,36.765,0,no,northeast,13981.85035
26,male,32.49,1,no,northeast,3490.5491
58,male,36.08,0,no,southeast,11363.2832
36,male,31.5,0,no,southwest,4402.233
20,male,33.33,0,no,southeast,1391.5287
60,female,38.06,0,no,southeast,12648.7034
52,male,26.4,3,no,southeast,25992.82104
57,male,40.945,0,no,northeast,11566.30055
32,female,23.65,1,no,southeast,17626.23951
56,male,25.935,0,no,northeast,11165.41765
43,male,32.6,2,no,southwest,7441.501
26,female,29.48,1,no,southeast,3392.3652
61,male,31.57,0,no,southeast,12557.6053
19,male,20.3,0,no,southwest,1242.26
46,female,30.8,3,no,southwest,9414.92
27,male,28.5,0,yes,northwest,18310.742
19,female,30.59,2,no,northwest,24059.68019
60,male,31.35,3,yes,northwest,46130.5265
23,female,28.12,0,no,northwest,2690.1138
18,female,31.13,0,no,southeast,1621.8827
34,female,31.92,1,yes,northeast,37701.8768
58,male,35.7,0,no,southwest,11362.755
32,male,28.93,1,yes,southeast,19719.6947
42,male,26.125,2,no,northeast,7729.64575
63,female,36.3,0,no,southeast,13887.204
24,male,29.3,0,no,southwest,1977.815
46,female,23.655,1,yes,northwest,21677.28345
51,female,37.73,1,no,southeast,9877.6077
44,male,21.85,3,no,northeast,8891.1395
46,female,30.2,2,no,southwest,8825.086
19,male,28.7,0,no,southwest,1253.936
21,female,26.4,1,no,southwest,2597.779
61,male,23.655,0,no,northeast,13129.60345
61,female,21.09,0,no,northwest,13415.0381
18,male,30.4,3,no,northeast,3481.868
38,female,19.475,2,no,northwest,6933.24225
40,male,41.23,1,no,northeast,6610.1097
59,female,32.395,3,no,northeast,14590.63205
37,male,29.8,0,no,southwest,20420.60465
42,male,31.255,0,no,northwest,6358.77645
36,female,29.92,0,no,southeast,4889.0368
55,female,37.1,0,no,southwest,10713.644
26,male,29.45,0,no,northeast,2897.3235
31,male,25.935,1,no,northwest,4239.89265
32,female,24.6,0,yes,southwest,17496.306
21,male,26.03,0,no,northeast,2102.2647
22,male,34.8,3,no,southwest,3443.064
37,female,23.37,2,no,northwest,6686.4313
29,male,27.94,0,no,southeast,2867.1196
60,female,25.84,0,no,northwest,28923.13692
20,female,28.785,0,no,northeast,2457.21115
45,female,39.995,3,no,northeast,9704.66805
36,female,26.885,0,no,northwest,5267.81815
35,male,38.6,1,no,southwest,4762.329
57,male,31.54,0,no,northwest,11353.2276
58,female,29.0,0,no,southwest,11842.442
43,female,20.045,2,yes,northeast,19798.05455
57,male,43.7,1,no,southwest,11576.13
35,male,17.86,1,no,northwest,5116.5004
61,male,33.915,0,no,northeast,13143.86485
43,female,46.2,0,yes,southeast,45863.205
42,female,33.155,1,no,northeast,7639.41745
18,male,43.01,0,no,southeast,1149.3959
51,male,30.03,1,no,southeast,9377.9047
19,female,28.9,0,no,southwest,1743.214
48,female,41.23,4,no,northwest,11033.6617
18,female,39.82,0,no,southeast,1633.9618
35,male,39.71,4,no,northeast,19496.71917
19,male,34.1,0,no,southwest,1261.442
58,male,34.39,0,no,northwest,11743.9341
54,female,30.8,3,no,southwest,12105.32
41,female,31.635,1,no,northeast,7358.17565
48,female,22.8,0,no,southwest,8269.044
62,female,38.095,2,no,northeast,15230.32405
59,male,25.46,0,no,northwest,12124.9924
53,female,26.6,0,no,northwest,10355.641
32,female,31.54,1,no,northeast,5148.5526
58,female,31.825,2,no,northeast,13607.36875
19,male,27.6,0,no,southwest,1252.407
41,male,34.2,2,no,northwest,7261.741
34,female,33.25,1,no,northeast,5594.8455
39,male,34.1,2,no,southeast,23563.01618
20,male,22.0,1,no,southwest,1964.78
33,female,18.5,1,no,southwest,4766.022
59,female,35.2,0,no,southeast,12244.531
36,female,29.04,4,no,southeast,7243.8136
21,female,17.4,1,no,southwest,2585.269
47,male,19.19,1,no,northeast,8627.5411
25,female,24.3,3,no,southwest,4391.652
22,male,39.5,0,no,southwest,1682.597
53,female,36.86,3,yes,northwest,46661.4424
61,female,44.0,0,no,southwest,13063.883
34,male,22.42,2,no,northeast,27375.90478
43,female,25.27,1,yes,northeast,21771.3423
26,male,29.15,1,no,southeast,2902.9065
24,female,22.6,0,no,southwest,2457.502
28,female,25.8,0,no,southwest,3161.454
38,female,34.8,2,no,southwest,6571.544
40,male,32.775,1,yes,northeast,39125.33225
20,female,21.8,0,yes,southwest,20167.33603
27,male,23.1,0,no,southeast,2483.736
19,male,30.59,0,no,northwest,1639.5631
33,male,33.44,5,no,southeast,6653.7886
32,male,31.5,1,no,southwest,4076.497
57,male,34.01,0,no,northwest,11356.6609
28,female,25.935,1,no,northwest,4133.64165
56,female,32.3,3,no,northeast,13430.265
27,male,33.66,0,no,southeast,2498.4144
27,male,31.13,1,yes,southeast,34806.4677
55,female,26.8,1,no,southwest,35160.13457
18,male,17.29,2,yes,northeast,12829.4551
36,female,25.9,1,no,southwest,5472.449
26,female,17.195,2,yes,northeast,14455.64405
51,female,20.6,0,no,southwest,9264.797
22,male,31.73,0,no,northeast,2254.7967
39,male,24.51,2,no,northwest,6710.1919
41,female,32.965,0,no,northwest,6571.02435
19,female,28.88,0,yes,northwest,17748.5062
47,female,36.0,1,no,southwest,8556.907
57,male,23.7,0,no,southwest,10959.33
18,female,39.16,0,no,southeast,1633.0444
37,female,30.78,0,yes,northeast,37270.1512
22,female,39.805,0,no,northeast,2755.02095
56,male,33.725,0,no,northwest,10976.24575
56,female,37.51,2,no,southeast,12265.5069
18,female,42.24,0,yes,southeast,38792.6856
20,female,37.0,5,no,southwest,4830.63
39,male,26.22,1,no,northwest,6123.5688
46,female,35.53,0,yes,northeast,42111.6647
32,male,27.835,1,no,northwest,4454.40265
34,male,30.8,0,yes,southwest,35491.64
44,male,32.015,2,no,northwest,8116.26885
18,female,21.66,0,yes,northeast,14283.4594
47,male,47.52,1,no,southeast,8083.9198
45,female,30.495,1,yes,northwest,39725.51805
29,female,21.85,0,yes,northeast,16115.3045
62,female,25.0,0,no,southwest,13451.122
36,female,19.855,0,no,northeast,5458.04645
57,female,28.7,0,no,southwest,11455.28
50,female,25.6,0,no,southwest,8932.084
39,female,41.8,0,no,southeast,5662.225
59,female,31.35,0,no,northwest,12622.1795
26,female,29.355,2,no,northeast,4564.19145
40,male,41.69,0,no,southeast,5438.7491
59,female,34.8,2,no,southwest,36910.60803
53,male,28.6,3,no,southwest,11253.421
35,male,27.61,1,no,southeast,4747.0529
47,male,25.46,2,no,northeast,9225.2564
33,male,24.795,0,yes,northeast,17904.52705
31,female,23.6,2,no,southwest,4931.647
60,male,28.9,0,no,southwest,12146.971
61,male,28.31,1,yes,northwest,28868.6639
37,male,37.07,1,yes,southeast,39871.7043
18,male,21.78,2,no,southeast,11884.04858
30,male,27.645,1,no,northeast,4237.12655
47,male,38.94,2,yes,southeast,44202.6536
43,female,24.7,2,yes,northwest,21880.82
37,female,17.29,2,no,northeast,6877.9801
34,female,27.72,0,no,southeast,4415.1588
40,female,27.4,1,no,southwest,6496.886
22,male,28.88,0,no,northeast,2250.8352
58,male,30.305,0,no,northeast,11938.25595
37,male,24.32,2,no,northwest,6198.7518
43,female,35.72,2,no,northeast,19144.57652
40,male,35.3,3,no,southwest,7196.867
51,female,36.385,3,no,northwest,11436.73815
31,male,30.875,0,no,northeast,3857.75925
34,male,27.835,1,yes,northwest,20009.63365
45,male,20.35,3,no,southeast,8605.3615
